id,value
id_0,6.779323230107709
id_1,18.24890888506806
id_2,23.944789958719817
id_3,7.7314878855126565
id_4,27.14206566969989
id_5,22.168471024012398
id_6,23.567810791163794
id_7,30.610356809496285
id_8,16.88126654629344
id_9,59.07809002072203
id_10,11.83657126113904
id_11,9.497558810193892
id_12,63.0944401858376
id_13,52.994840458127086
id_14,21.891942904735114
id_15,12.192776350638436
id_16,32.290111172574
id_17,67.0034107528054
id_18,-0.2845944222597545
id_19,17.254371920469392
id_20,42.01769262207765
id_21,72.22578370818718
id_22,9.354139665288367
id_23,18.020683663515662
id_24,14.518279946910132
id_25,38.29290271604234
id_26,15.198627587559136
id_27,61.729387617271456
id_28,7.143530181016034
id_29,55.479698043670396
id_30,25.258657816199936
id_31,9.043921729065286
id_32,2.601158983889203
id_33,19.256504788758566
id_34,27.727112752320828
id_35,37.39577112615216
id_36,43.262884343785046
id_37,29.34621901692374
id_38,41.92095918802933
id_39,35.573576083948794
id_40,7.893353115182421
id_41,40.83479515265357
id_42,30.919361541691487
id_43,51.10814671981338
id_44,17.123424330581553
id_45,35.57482846657657
id_46,24.803323988291027
id_47,10.013518819351349
id_48,26.500183709575662
id_49,32.33156898742221
id_50,20.179408586717624
id_51,8.029980372325786
id_52,20.937527081404973
id_53,52.599403568383224
id_54,15.884888715092552
id_55,36.40978313991362
id_56,33.40639658145391
id_57,20.734421698855353
id_58,57.74798214205694
id_59,22.76972424297932
id_60,14.555826261178522
id_61,42.21535179688512
id_62,12.993219795024952
id_63,48.616169704554125
id_64,14.191289391561998
id_65,15.245358697247404
id_66,14.551603557076744
id_67,-1.1892361878097937
id_68,43.98743335494213
id_69,29.03150487720467
id_70,20.31312342853585
id_71,41.60073717962098
id_72,59.85196455901011
id_73,5.698384071346313
id_74,16.58828623541704
id_75,3.3824211780688955
id_76,40.21371695593092
id_77,14.45998904148701
id_78,21.77291424752101
id_79,21.161618351785325
id_80,23.84171644426663
id_81,36.38362289848925
id_82,21.78113321955668
id_83,92.25337195189046
id_84,37.15277765354254
id_85,27.661080889029265
id_86,22.11160404952779
id_87,33.80191564800721
id_88,23.42779311279571
id_89,20.03378183575167
id_90,29.002151277727723
id_91,41.35024964632426
id_92,4.6154693532581454
id_93,38.726125054147026
id_94,45.85524147986962
id_95,16.45684776307953
id_96,31.457892915018512
id_97,12.963893078053745
id_98,23.42676678687882
id_99,4.72158312865081
id_100,18.501774521675543
id_101,26.4230626267677
id_102,14.188308066230801
id_103,16.186260923999832
id_104,24.03851308462689
id_105,39.8349775629255
id_106,30.870407939286153
id_107,6.507669007792773
id_108,6.435323784664156
id_109,78.40886743184076
id_110,47.66883065448765
id_111,17.16022461352778
id_112,27.622025710212615
id_113,15.086474731657876
id_114,13.589065488023362
id_115,25.031186177149138
id_116,26.494682412137756
id_117,10.433225863556366
id_118,18.964083686326592
id_119,19.701846024503606
id_120,80.49434642089672
id_121,25.16587534663972
id_122,37.13404573255228
id_123,25.56228790530869
id_124,7.528990793175534
id_125,39.01958878456477
id_126,9.326141535982519
id_127,22.069644789759927
id_128,29.413877737996
id_129,62.56728739708407
id_130,21.76145245011251
id_131,23.92992688600978
id_132,58.91346216524518
id_133,15.360043561889615
id_134,14.324294589365739
id_135,2.5806764808551463
id_136,12.549792747128725
id_137,58.676191598575
id_138,20.13059948418079
id_139,5.314926290996613
id_140,29.542151798935798
id_141,25.386267479226362
id_142,44.84462377318356
id_143,30.61797460823498
id_144,18.259498356645178
id_145,26.29405673633758
id_146,12.229178326510167
id_147,51.73297218177275
id_148,22.98220784178404
id_149,38.60338480854814
id_150,10.036062114649928
id_151,8.395438155988094
id_152,23.589933862693393
id_153,6.48524340168707
id_154,15.426629862853082
id_155,40.728465561395964
id_156,7.755360087841005
id_157,36.173974031628816
id_158,11.265037903718143
id_159,19.112938953256585
id_160,41.751071402888705
id_161,19.15891308761235
id_162,13.084890653849142
id_163,8.543984051544784
id_164,52.31148001972875
id_165,31.106889354668635
id_166,-0.3352167680195208
id_167,16.17765449150546
id_168,63.523701330625016
id_169,14.128166868610538
id_170,63.28018663453905
id_171,39.09443111270482
id_172,27.345294919214464
id_173,20.310588991310926
id_174,61.26268705440654
id_175,24.876700022335886
id_176,21.3810154383961
id_177,37.25153091282852
id_178,12.394930594825773
id_179,31.203300428315615
id_180,16.79738241505467
id_181,11.823890189624818
id_182,55.632258684081265
id_183,46.071696257853006
id_184,15.955415381471706
